Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
fgetINPC_Denom,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
fgetINPC_Num,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
fgetINPC_Num_UP,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
fgetINPCNUM_PRORROGA,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
fgetMONTO_INVEDIFERENTE,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
fgetMONTO_RECACUMULABLE,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FilteredIndexFragmentation,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FiltroInstMavi,Table,SoloDeMavi,SoloDeMavi,0,0,
FiltroInstMavi99036,Table,SoloDeMavi,SoloDeMavi,0,0,
FiltrosExitenciaWMS,Table,NativoDesde5000,NativoDesde5000,0,0,
Fingerprints,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
Fingerprints_ctefinal,Table,SoloDeMavi,SoloDeMavi,0,0,
FingerprintsTMP,Table,SoloDeMavi,SoloDeMavi,0,0,
Fiscal,Table,NativoDesde3100,IgualDesde3100,0,0,
FiscalC,Table,NativoDesde3100,IgualDesde3100,0,0,
FiscalCont,View,NativoDesde5000,NativoDesde5000,0,0,
FiscalD,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
FiscalExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
FiscalRegimen,Table,EnProduccionYNativo5000,Ambos,1,0,
FiscalRegimenRegla,Table,NativoDesde5000,NativoDesde5000,0,0,
FiscalZona,Table,NativoDesde5000,NativoDesde5000,0,0,
FITipoFinanciamiento,Table,NativoDesde3100,IgualDesde3100,0,0,
fixActualizaEstadistica,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
fixAgentAnticipo,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixAgentPagoDev,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixAplicaDifEfectivo,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixArtAlm,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixAuxiliarConciliado,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixAuxiliarDescuentoLineal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixBonificacionVentas,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixCantidadPendiente,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixComisionesNotasCargo,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixCompraDescuentoGlobal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixCompraDescuentoLineal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixContContacto,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixCorteCaja,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixCxcDescuentoLineal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixCxpDescuentoLineal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixDevCompraDesc,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixEmpresaCFD,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixInvCapaUP,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixInvProdNominaImporte,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixLogProc,Table,SoloDeMavi,SoloDeMavi,0,0,
FixMovImpuestoAgent,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
FixMovImpuestoCx,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
FixMovImpuestoDinero,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
FixMovImpuestoGasto,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
FixMovImpuestoInv,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
FixMovImpuestoMovFinal,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
fixNominaPersonal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixPersonalEmpresa,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixPOSInsertaCodigosFaltantes,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
fixPresupuesto,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixReindexaTabla,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
fixRHPlaza,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixTFDCadenaOriginal,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
fixVentaComision,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixVentaDescuentoLineal,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixVentaEliminarImpuesto3,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
fixVentaEncabezado,Stored Procedure,NativoDesde3100,IgualDesde3100,0,0,
FK,Table,NativoDesde5000,NativoDesde5000,0,0,
fmMFAAcumulableDeducibleCOMSEI,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FN_APGeneraPolizaMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_aroTipoPerdidaFolio,Scalar Function,NativoDesde3100,IgualDesde3100,0,0,
fn_AspelDescuentoEnCascada,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FN_Auxcontable,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_BonificacionPP,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_BuroImporteUltPago,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_CalculaFactorBonifCC,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_CanalesClienteAsign,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_CanalesCte,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
FN_CancCredCta,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_CancCredFinaIva,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_CCredSIMavi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_CfdiRelacionadosMavi,Table Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_CfdiRelacionadosMavi_II,Table Function,SoloDeMavi,SoloDeMavi,0,0,
fn_clase_cuenta,Scalar Function,NativoDesde5000,NativoDesde5000,0,0,
