Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
fn_MaviDM0221DatosValida,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM02226ValidacionCantidad,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0226ValidaEntrega,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0226ValidaInvMov,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0232Validafotos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235leyenda,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235Quincena,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235SaldoReut,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235Usuario,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235ValidarQuincena,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235ValidasaldoReut,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235ValidFechDep,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235ValNotaCgo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0235VisibleRech,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0243Valida,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0244AvalesDelCliente,Table Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0244CampoExtra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0244ExisteAsignacionCliente,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0244ExisteAsignacionClientePrel,Table Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0244ValeAsignado,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0244ValidaSituacion,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0254ValidarCajas,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
